"id","name","name"
"CI12053","Miguel Pereira","Brazil"
"CI12055","Jacare","Brazil"
"CI12061","Mechelen-aan-de-Maas","Belgium"
"CI12067","Itabaiana","Brazil"
"CI12072","Sanharo","Brazil"
"CI12076","Igreja Nova","Brazil"
"CI12081","Aurora","Brazil"
"CI12084","Urbano Santos","Brazil"
"CI12087","Canhotinho","Brazil"
"CI12091","Pirajui","Brazil"
"CI12097","Cedro","Brazil"
"CI12111","Craibas","Brazil"
"CI12118","Joaquim Gomes","Brazil"
"CI12124","Neropolis","Brazil"
"CI12130","Quipapa","Brazil"
"CI12132","Villa Nueva","Argentina"
"CI12136","Ibirapitanga","Brazil"
"CI12143","Barauna","Brazil"
"CI12147","Saladas","Argentina"
"CI12155","Pombos","Brazil"
"CI12158","Sao Jose da Laje","Brazil"
"CI12161","Jequitinhonha","Brazil"
"CI12164","Ibicarai","Brazil"
"CI12169","Itapissuma","Brazil"
"CI12172","Rio Tinto","Brazil"
"CI12174","Ayacucho","Argentina"
"CI12175","Sao Miguel do Guapore","Brazil"
"CI12178","Ocara","Brazil"
"CI12180","Piracanjuba","Brazil"
"CI12182","Flemalle-Haute","Belgium"
"CI12183","Macaparana","Brazil"
"CI12184","La Quiaca","Argentina"
"CI12186","Tres Coroas","Brazil"
"CI12198","Laje","Brazil"
"CI12199","Villa San Jose","Argentina"
"CI12201","Cambara","Brazil"
"CI12204","Tres Passos","Brazil"
"CI12207","Tres de Maio","Brazil"
"CI12210","Monte Aprazivel","Brazil"
"CI12227","Jucas","Brazil"
"CI12250","Tostado","Argentina"
"CI12251","Cupira","Brazil"
"CI12254","Sobradinho","Brazil"
"CI12256","Urucurituba","Brazil"
"CI12260","Cacule","Brazil"
"CI12265","Brodosqui","Brazil"
"CI12271","Assare","Brazil"
"CI12274","Medeiros Neto","Brazil"
"CI12275","General Belgrano","Argentina"
"CI12283","Pirai do Sul","Brazil"
"CI12292","Carandai","Brazil"
"CI12295","Ortigueira","Brazil"
"CI12297","Palmeiras de Goias","Brazil"
"CI12305","Villa Nueva","Argentina"
"CI12307","Teodoro Sampaio","Brazil"
"CI12312","Riachao das Neves","Brazil"
"CI12316","Tambau","Brazil"
"CI12333","Areia","Brazil"
"CI12335","Laguna Paiva","Argentina"
"CI12336","Santa Maria do Para","Brazil"
"CI12339","Conceicao das Alagoas","Brazil"
"CI12342","Orobo","Brazil"
"CI12343","Morlanwelz-Mariemont","Belgium"
"CI12350","Soure","Brazil"
"CI12362","Mutuipe","Brazil"
"CI12365","Buriti Bravo","Brazil"
"CI12368","Conceicao da Feira","Brazil"
"CI12371","Ecoporanga","Brazil"
"CI12375","Santa Lucia","Argentina"
"CI12386","Agrestina","Brazil"
"CI12389","Oliveira dos Brejinhos","Brazil"
"CI12395","Iracemapolis","Brazil"
"CI12407","Pinheiral","Brazil"
"CI12414","Tocantinopolis","Brazil"
"CI12421","San Roque","Argentina"
"CI12431","Goianinha","Brazil"
"CI12433","Wenceslau Guimaraes","Brazil"
"CI12434","Frontera","Argentina"
"CI12447","Ibatiba","Brazil"
"CI12456","Palmas de Monte Alto","Brazil"
"CI12459","Barra da Estiva","Brazil"
"CI12468","Guaratinga","Brazil"
"CI12471","Carai","Brazil"
"CI12480","Sao Joao do Paraiso","Brazil"
"CI12483","Feira Grande","Brazil"
"CI12489","Tupancireta","Brazil"
"CI12495","Santo Antonio","Brazil"
"CI12500","Castelli","Argentina"
"CI12501","Mandirituba","Brazil"
"CI12504","Conselheiro Pena","Brazil"
"CI12507","Rio Formoso","Brazil"
"CI12515","Sauce","Argentina"
"CI12518","Sao Jeronimo","Brazil"
"CI12521","Sao Sebastiao do Cai","Brazil"
"CI12525","Maravilha","Brazil"
"CI12537","Paramirim","Brazil"
"CI12543","Tacaratu","Brazil"
"CI12548","Rinconada","Argentina"
"CI12549","Poco Verde","Brazil"
"CI12558","Coreau","Brazil"
"CI12560","Remigio","Brazil"
"CI12563","Caapora","Brazil"
"CI12566","Matinha","Brazil"
"CI12569","Caxambu","Brazil"
"CI12572","Colonia Leopoldina","Brazil"
"CI12575","Urucuca","Brazil"
"CI12590","Itajuipe","Brazil"
"CI12594","Rio Mayo","Argentina"
"CI12596","Sao Lourenco d'Oeste","Brazil"
"CI12600","Miguelopolis","Brazil"
"CI12602","Sao Marcos","Brazil"
"CI12605","Cujubim","Brazil"
"CI12608","Sao Felipe","Brazil"
"CI12614","Nova Brasilandia d'Oeste","Brazil"
"CI12617","Crisopolis","Brazil"
"CI12621","Pedro Luro","Argentina"
"CI12623","Buritirama","Brazil"
"CI12626","Porto Franco","Brazil"
"CI12630","Viale","Argentina"
"CI12633","Cajueiro","Brazil"
"CI12635","Darregueira","Argentina"
"CI12636","Manhumirim","Brazil"
"CI12642","Villa Rumipal","Argentina"
"CI12647","Pio XII","Brazil"
"CI12653","Itapecerica","Brazil"
"CI12662","Bananeiras","Brazil"
"CI12665","Araripe","Brazil"
"CI12671","Monte Siao","Brazil"
"CI12686","Erval d'Oeste","Brazil"
"CI12695","Baixa Grande","Brazil"
"CI12702","Marau","Brazil"
"CI12708","Diamantino","Brazil"
"CI12711","Taperoa","Brazil"
"CI12720","Pindobacu","Brazil"
"CI12723","Pontal do Parana","Brazil"
"CI12728","Madre de Deus","Brazil"
"CI12731","Pedra","Brazil"
"CI12737","Sao Vicente Ferrer","Brazil"
"CI12743","Serro","Brazil"
